areaCode,areaName,areaType,date,covidOccupiedMVBeds,hospitalCases,newAdmissions
K02000001,United Kingdom,overview,2022-06-13,,5918,
K02000001,United Kingdom,overview,2022-06-12,,5654,
K02000001,United Kingdom,overview,2022-06-11,,5478,
K02000001,United Kingdom,overview,2022-06-10,,5479,710
K02000001,United Kingdom,overview,2022-06-09,,5285,751
K02000001,United Kingdom,overview,2022-06-08,,5267,771
K02000001,United Kingdom,overview,2022-06-07,,5282,687
K02000001,United Kingdom,overview,2022-06-06,,5260,718
K02000001,United Kingdom,overview,2022-06-05,,5074,623
K02000001,United Kingdom,overview,2022-06-04,,4922,520
K02000001,United Kingdom,overview,2022-06-03,,4967,489
K02000001,United Kingdom,overview,2022-06-02,,4948,518
K02000001,United Kingdom,overview,2022-06-01,,4922,576
K02000001,United Kingdom,overview,2022-05-31,,5171,588
K02000001,United Kingdom,overview,2022-05-30,,5209,560
K02000001,United Kingdom,overview,2022-05-29,,5127,520
K02000001,United Kingdom,overview,2022-05-28,,5175,454
K02000001,United Kingdom,overview,2022-05-27,,5368,523
K02000001,United Kingdom,overview,2022-05-26,,5621,495
K02000001,United Kingdom,overview,2022-05-25,,5752,580
K02000001,United Kingdom,overview,2022-05-24,,5899,578
K02000001,United Kingdom,overview,2022-05-23,,6270,592
K02000001,United Kingdom,overview,2022-05-22,175,6282,535
K02000001,United Kingdom,overview,2022-05-21,184,6330,450
K02000001,United Kingdom,overview,2022-05-20,194,6552,525
K02000001,United Kingdom,overview,2022-05-19,191,6762,649
K02000001,United Kingdom,overview,2022-05-18,188,6915,711
K02000001,United Kingdom,overview,2022-05-17,201,7294,665
K02000001,United Kingdom,overview,2022-05-16,189,7640,689
K02000001,United Kingdom,overview,2022-05-15,199,7826,631
K02000001,United Kingdom,overview,2022-05-14,197,7842,610
K02000001,United Kingdom,overview,2022-05-13,189,8183,627
K02000001,United Kingdom,overview,2022-05-12,191,8489,783
K02000001,United Kingdom,overview,2022-05-11,202,8950,775
K02000001,United Kingdom,overview,2022-05-10,203,9347,865
K02000001,United Kingdom,overview,2022-05-09,213,9668,848
K02000001,United Kingdom,overview,2022-05-08,227,9752,753
K02000001,United Kingdom,overview,2022-05-07,226,9808,706
K02000001,United Kingdom,overview,2022-05-06,237,10311,817
K02000001,United Kingdom,overview,2022-05-05,253,10831,868
K02000001,United Kingdom,overview,2022-05-04,277,11328,1005
K02000001,United Kingdom,overview,2022-05-03,278,11670,1020
K02000001,United Kingdom,overview,2022-05-02,286,11777,941
K02000001,United Kingdom,overview,2022-05-01,293,11779,906
K02000001,United Kingdom,overview,2022-04-30,304,11995,826
K02000001,United Kingdom,overview,2022-04-29,305,12532,1004
K02000001,United Kingdom,overview,2022-04-28,302,13105,1074
K02000001,United Kingdom,overview,2022-04-27,310,13738,1227
K02000001,United Kingdom,overview,2022-04-26,326,14169,1251
K02000001,United Kingdom,overview,2022-04-25,320,14986,1280
K02000001,United Kingdom,overview,2022-04-24,324,15050,1191
K02000001,United Kingdom,overview,2022-04-23,325,15159,1205
K02000001,United Kingdom,overview,2022-04-22,325,15973,1365
K02000001,United Kingdom,overview,2022-04-21,338,16507,1435
K02000001,United Kingdom,overview,2022-04-20,349,17450,1509
K02000001,United Kingdom,overview,2022-04-19,336,17993,1621
K02000001,United Kingdom,overview,2022-04-18,326,17540,1665
K02000001,United Kingdom,overview,2022-04-17,328,17639,1490
K02000001,United Kingdom,overview,2022-04-16,332,17808,1449
K02000001,United Kingdom,overview,2022-04-15,320,17887,1642
K02000001,United Kingdom,overview,2022-04-14,349,18591,1898
K02000001,United Kingdom,overview,2022-04-13,355,19114,2113
K02000001,United Kingdom,overview,2022-04-12,385,19872,2244
K02000001,United Kingdom,overview,2022-04-11,379,20173,2110
K02000001,United Kingdom,overview,2022-04-10,372,19739,1996
K02000001,United Kingdom,overview,2022-04-09,367,19595,1906
K02000001,United Kingdom,overview,2022-04-08,355,20167,1999
K02000001,United Kingdom,overview,2022-04-07,357,20452,2267
K02000001,United Kingdom,overview,2022-04-06,361,20545,2438
K02000001,United Kingdom,overview,2022-04-05,364,20523,2592
K02000001,United Kingdom,overview,2022-04-04,351,20541,2457
K02000001,United Kingdom,overview,2022-04-03,342,20086,2303
K02000001,United Kingdom,overview,2022-04-02,350,19730,2083
K02000001,United Kingdom,overview,2022-04-01,352,20071,2144
K02000001,United Kingdom,overview,2022-03-31,356,19736,2429
K02000001,United Kingdom,overview,2022-03-30,359,19688,2686
