areaCode,areaName,areaType,date,newCasesBySpecimenDate,newDeaths28DaysByDeathDate
N92000002,Northern Ireland,nation,2022-05-19,190,0
N92000002,Northern Ireland,nation,2022-05-18,266,4
N92000002,Northern Ireland,nation,2022-05-17,318,1
N92000002,Northern Ireland,nation,2022-05-16,356,2
N92000002,Northern Ireland,nation,2022-05-15,281,0
N92000002,Northern Ireland,nation,2022-05-14,195,0
N92000002,Northern Ireland,nation,2022-05-13,213,1
N92000002,Northern Ireland,nation,2022-05-12,214,2
N92000002,Northern Ireland,nation,2022-05-11,289,1
N92000002,Northern Ireland,nation,2022-05-10,333,2
N92000002,Northern Ireland,nation,2022-05-09,372,2
N92000002,Northern Ireland,nation,2022-05-08,321,1
N92000002,Northern Ireland,nation,2022-05-07,253,2
N92000002,Northern Ireland,nation,2022-05-06,261,0
N92000002,Northern Ireland,nation,2022-05-05,306,2
N92000002,Northern Ireland,nation,2022-05-04,344,0
N92000002,Northern Ireland,nation,2022-05-03,373,0
N92000002,Northern Ireland,nation,2022-05-02,308,1
N92000002,Northern Ireland,nation,2022-05-01,243,1
N92000002,Northern Ireland,nation,2022-04-30,203,2
N92000002,Northern Ireland,nation,2022-04-29,281,3
N92000002,Northern Ireland,nation,2022-04-28,297,1
N92000002,Northern Ireland,nation,2022-04-27,360,1
N92000002,Northern Ireland,nation,2022-04-26,371,3
N92000002,Northern Ireland,nation,2022-04-25,454,1
N92000002,Northern Ireland,nation,2022-04-24,437,3
N92000002,Northern Ireland,nation,2022-04-23,385,2
N92000002,Northern Ireland,nation,2022-04-22,475,1
N92000002,Northern Ireland,nation,2022-04-21,622,3
N92000002,Northern Ireland,nation,2022-04-20,682,6
N92000002,Northern Ireland,nation,2022-04-19,719,1
N92000002,Northern Ireland,nation,2022-04-18,591,3
N92000002,Northern Ireland,nation,2022-04-17,413,9
N92000002,Northern Ireland,nation,2022-04-16,470,1
N92000002,Northern Ireland,nation,2022-04-15,528,3
N92000002,Northern Ireland,nation,2022-04-14,652,3
N92000002,Northern Ireland,nation,2022-04-13,784,5
N92000002,Northern Ireland,nation,2022-04-12,808,3
N92000002,Northern Ireland,nation,2022-04-11,909,0
N92000002,Northern Ireland,nation,2022-04-10,715,5
N92000002,Northern Ireland,nation,2022-04-09,588,4
N92000002,Northern Ireland,nation,2022-04-08,678,3
N92000002,Northern Ireland,nation,2022-04-07,949,5
N92000002,Northern Ireland,nation,2022-04-06,1071,4
N92000002,Northern Ireland,nation,2022-04-05,1231,2
N92000002,Northern Ireland,nation,2022-04-04,1321,4
N92000002,Northern Ireland,nation,2022-04-03,997,4
N92000002,Northern Ireland,nation,2022-04-02,809,3
N92000002,Northern Ireland,nation,2022-04-01,985,5
N92000002,Northern Ireland,nation,2022-03-31,1115,6
N92000002,Northern Ireland,nation,2022-03-30,1369,2
N92000002,Northern Ireland,nation,2022-03-29,1462,5
N92000002,Northern Ireland,nation,2022-03-28,1730,4
N92000002,Northern Ireland,nation,2022-03-27,1338,7
N92000002,Northern Ireland,nation,2022-03-26,1174,3
N92000002,Northern Ireland,nation,2022-03-25,1432,9
N92000002,Northern Ireland,nation,2022-03-24,1850,1
N92000002,Northern Ireland,nation,2022-03-23,2325,6
N92000002,Northern Ireland,nation,2022-03-22,2404,4
N92000002,Northern Ireland,nation,2022-03-21,2835,2
N92000002,Northern Ireland,nation,2022-03-20,2173,6
N92000002,Northern Ireland,nation,2022-03-19,1645,2
N92000002,Northern Ireland,nation,2022-03-18,1704,7
N92000002,Northern Ireland,nation,2022-03-17,1670,0
N92000002,Northern Ireland,nation,2022-03-16,2036,3
N92000002,Northern Ireland,nation,2022-03-15,2404,2
N92000002,Northern Ireland,nation,2022-03-14,2566,5
N92000002,Northern Ireland,nation,2022-03-13,2050,4
N92000002,Northern Ireland,nation,2022-03-12,1686,2
