areaCode,areaName,areaType,date,age,cases,rollingSum,rollingRate
E92000001,England,nation,2022-06-16,00_04,100,712,22.0
E92000001,England,nation,2022-06-16,00_59,8451,56501,131.7
E92000001,England,nation,2022-06-16,05_09,120,815,23.0
E92000001,England,nation,2022-06-16,10_14,287,1919,55.9
E92000001,England,nation,2022-06-16,15_19,419,2872,92.2
E92000001,England,nation,2022-06-16,20_24,645,4275,123.1
E92000001,England,nation,2022-06-16,25_29,889,5692,150.9
E92000001,England,nation,2022-06-16,30_34,945,6430,168.1
E92000001,England,nation,2022-06-16,35_39,931,6159,164.8
E92000001,England,nation,2022-06-16,40_44,902,6145,176.8
E92000001,England,nation,2022-06-16,45_49,966,6636,182.4
E92000001,England,nation,2022-06-16,50_54,1116,7490,193.3
E92000001,England,nation,2022-06-16,55_59,1131,7356,195.5
E92000001,England,nation,2022-06-16,60+,3219,20993,153.7
E92000001,England,nation,2022-06-16,60_64,910,6155,192.5
E92000001,England,nation,2022-06-16,65_69,701,4696,168.7
E92000001,England,nation,2022-06-16,70_74,643,4164,148.0
E92000001,England,nation,2022-06-16,75_79,413,2594,129.1
E92000001,England,nation,2022-06-16,80_84,260,1527,105.4
E92000001,England,nation,2022-06-16,85_89,174,1075,121.4
E92000001,England,nation,2022-06-16,90+,118,782,150.1
E92000001,England,nation,2022-06-16,unassigned,10,56,
E92000001,England,nation,2022-06-15,00_04,122,711,21.9
E92000001,England,nation,2022-06-15,00_59,9030,54850,127.9
E92000001,England,nation,2022-06-15,05_09,119,774,21.9
E92000001,England,nation,2022-06-15,10_14,298,1797,52.3
E92000001,England,nation,2022-06-15,15_19,426,2849,91.4
E92000001,England,nation,2022-06-15,20_24,698,4201,121.0
E92000001,England,nation,2022-06-15,25_29,912,5489,145.5
E92000001,England,nation,2022-06-15,30_34,1058,6289,164.4
E92000001,England,nation,2022-06-15,35_39,922,5940,158.9
E92000001,England,nation,2022-06-15,40_44,996,5900,169.7
E92000001,England,nation,2022-06-15,45_49,1136,6494,178.5
E92000001,England,nation,2022-06-15,50_54,1161,7265,187.5
E92000001,England,nation,2022-06-15,55_59,1182,7141,189.8
E92000001,England,nation,2022-06-15,60+,3218,20489,150.0
E92000001,England,nation,2022-06-15,60_64,942,6022,188.4
E92000001,England,nation,2022-06-15,65_69,733,4629,166.3
E92000001,England,nation,2022-06-15,70_74,660,4059,144.2
E92000001,England,nation,2022-06-15,75_79,407,2479,123.3
E92000001,England,nation,2022-06-15,80_84,211,1455,100.4
E92000001,England,nation,2022-06-15,85_89,154,1039,117.4
E92000001,England,nation,2022-06-15,90+,111,806,154.7
E92000001,England,nation,2022-06-15,unassigned,12,54,
