areaCode,areaName,areaType,date,covidOccupiedMVBeds,newCasesBySpecimenDate,newDeaths28DaysByDeathDate,newPCRTestsByPublishDate,newPeopleVaccinatedFirstDoseByVaccinationDate
E92000001,England,nation,2022-06-21,149,,,,
E92000001,England,nation,2022-06-20,150,11466,7,39645,998
E92000001,England,nation,2022-06-19,139,13813,36,31748,736
E92000001,England,nation,2022-06-18,138,11291,25,34796,2212
E92000001,England,nation,2022-06-17,120,11345,29,41918,1178
E92000001,England,nation,2022-06-16,130,11680,50,41210,1046
E92000001,England,nation,2022-06-15,132,12260,40,44897,1242
E92000001,England,nation,2022-06-14,130,12520,31,45824,1174
E92000001,England,nation,2022-06-13,128,12860,36,41121,1036
E92000001,England,nation,2022-06-12,126,10675,28,31157,922
E92000001,England,nation,2022-06-11,125,8426,42,35380,2543
E92000001,England,nation,2022-06-10,117,9129,49,39516,1311
E92000001,England,nation,2022-06-09,127,9523,36,44371,1222
E92000001,England,nation,2022-06-08,124,9927,39,50334,1297
E92000001,England,nation,2022-06-07,116,9435,38,53673,1209
E92000001,England,nation,2022-06-06,120,9763,51,42814,1156
E92000001,England,nation,2022-06-05,113,8319,43,32321,474
E92000001,England,nation,2022-06-04,111,6253,49,34209,1432
E92000001,England,nation,2022-06-03,125,5555,33,32527,266
E92000001,England,nation,2022-06-02,126,5055,46,36204,366
E92000001,England,nation,2022-06-01,123,5690,39,46520,2141
E92000001,England,nation,2022-05-31,119,5714,57,43453,2040
E92000001,England,nation,2022-05-30,121,5911,56,42325,1827
E92000001,England,nation,2022-05-29,124,4672,37,34296,1013
E92000001,England,nation,2022-05-28,127,4140,52,37557,2445
E92000001,England,nation,2022-05-27,134,4463,54,44175,1669
E92000001,England,nation,2022-05-26,134,4800,62,48433,1477
E92000001,England,nation,2022-05-25,137,5175,44,50969,1624
E92000001,England,nation,2022-05-24,142,5583,46,54247,1627
E92000001,England,nation,2022-05-23,150,6228,63,48692,1535
E92000001,England,nation,2022-05-22,156,5137,62,39416,1153
E92000001,England,nation,2022-05-21,164,4223,63,43606,3195
E92000001,England,nation,2022-05-20,171,5022,64,49824,2235
E92000001,England,nation,2022-05-19,165,5761,58,46581,2010
E92000001,England,nation,2022-05-18,161,6376,57,56688,2078
E92000001,England,nation,2022-05-17,173,6808,84,56299,1938
E92000001,England,nation,2022-05-16,159,7857,68,51552,1807
E92000001,England,nation,2022-05-15,170,6700,83,39122,1490
E92000001,England,nation,2022-05-14,168,5123,80,46865,3806
E92000001,England,nation,2022-05-13,162,5744,89,54951,2406
E92000001,England,nation,2022-05-12,162,6354,101,54943,2313
E92000001,England,nation,2022-05-11,170,7240,91,58450,2378
E92000001,England,nation,2022-05-10,175,8118,107,65264,2426
E92000001,England,nation,2022-05-09,187,8852,105,54822,2229
E92000001,England,nation,2022-05-08,199,7647,105,47338,1875
E92000001,England,nation,2022-05-07,199,6353,117,55005,4585
