areaCode,areaName,areaType,date,cumAdmissions,hospitalCases,newAdmissions
E92000001,England,nation,2022-06-21,,6002,
E92000001,England,nation,2022-06-20,,5726,
E92000001,England,nation,2022-06-19,757971,5436,942
E92000001,England,nation,2022-06-18,757029,5183,797
E92000001,England,nation,2022-06-17,756232,5037,829
E92000001,England,nation,2022-06-16,755403,5008,822
E92000001,England,nation,2022-06-15,754581,4843,842
E92000001,England,nation,2022-06-14,753739,4722,763
E92000001,England,nation,2022-06-13,752976,4602,722
E92000001,England,nation,2022-06-12,752254,4408,659
E92000001,England,nation,2022-06-11,751595,4257,583
E92000001,England,nation,2022-06-10,751012,4262,589
E92000001,England,nation,2022-06-09,750423,4082,627
E92000001,England,nation,2022-06-08,749796,4096,664
E92000001,England,nation,2022-06-07,749132,4108,577
E92000001,England,nation,2022-06-06,748555,4126,606
E92000001,England,nation,2022-06-05,747949,3965,531
E92000001,England,nation,2022-06-04,747418,3835,443
E92000001,England,nation,2022-06-03,746975,3849,404
E92000001,England,nation,2022-06-02,746571,3841,412
E92000001,England,nation,2022-06-01,746159,3800,480
E92000001,England,nation,2022-05-31,745679,4036,502
E92000001,England,nation,2022-05-30,745177,4091,465
E92000001,England,nation,2022-05-29,744712,4018,428
E92000001,England,nation,2022-05-28,744284,4013,382
E92000001,England,nation,2022-05-27,743902,4197,442
E92000001,England,nation,2022-05-26,743460,4365,421
E92000001,England,nation,2022-05-25,743039,4489,475
E92000001,England,nation,2022-05-24,742564,4639,461
E92000001,England,nation,2022-05-23,742103,5010,505
E92000001,England,nation,2022-05-22,741598,5047,463
E92000001,England,nation,2022-05-21,741135,5065,387
E92000001,England,nation,2022-05-20,740748,5187,450
E92000001,England,nation,2022-05-19,740298,5356,573
E92000001,England,nation,2022-05-18,739725,5425,626
E92000001,England,nation,2022-05-17,739099,5733,576
E92000001,England,nation,2022-05-16,738523,6024,589
E92000001,England,nation,2022-05-15,737934,6158,566
E92000001,England,nation,2022-05-14,737368,6147,553
E92000001,England,nation,2022-05-13,736815,6366,542
E92000001,England,nation,2022-05-12,736273,6602,680
E92000001,England,nation,2022-05-11,735593,7034,671
E92000001,England,nation,2022-05-10,734922,7363,726
E92000001,England,nation,2022-05-09,734196,7647,731
E92000001,England,nation,2022-05-08,733465,7715,669
E92000001,England,nation,2022-05-07,732796,7768,607
E92000001,England,nation,2022-05-06,732189,8170,721
E92000001,England,nation,2022-05-05,731468,8596,777
E92000001,England,nation,2022-05-04,730691,8950,873
E92000001,England,nation,2022-05-03,729818,9243,893
E92000001,England,nation,2022-05-02,728925,9326,828
E92000001,England,nation,2022-05-01,728097,9355,807
E92000001,England,nation,2022-04-30,727290,9499,718
E92000001,England,nation,2022-04-29,726572,9938,872
E92000001,England,nation,2022-04-28,725700,10432,936
E92000001,England,nation,2022-04-27,724764,10965,1082
E92000001,England,nation,2022-04-26,723682,11320,1100
E92000001,England,nation,2022-04-25,722582,11992,1138
E92000001,England,nation,2022-04-24,721444,12083,1077
E92000001,England,nation,2022-04-23,720367,12156,1087
E92000001,England,nation,2022-04-22,719280,12883,1184
E92000001,England,nation,2022-04-21,718096,13392,1264
E92000001,England,nation,2022-04-20,716832,14164,1322
E92000001,England,nation,2022-04-19,715510,14607,1435
E92000001,England,nation,2022-04-18,714075,14183,1506
E92000001,England,nation,2022-04-17,712569,14254,1347
E92000001,England,nation,2022-04-16,711222,14335,1288
E92000001,England,nation,2022-04-15,709934,14394,1416
E92000001,England,nation,2022-04-14,708518,14955,1662
E92000001,England,nation,2022-04-13,706856,15399,1898
E92000001,England,nation,2022-04-12,704958,16131,2003
E92000001,England,nation,2022-04-11,702955,16442,1909
E92000001,England,nation,2022-04-10,701046,16039,1792
E92000001,England,nation,2022-04-09,699254,15876,1702
E92000001,England,nation,2022-04-08,697552,16366,1751
E92000001,England,nation,2022-04-07,695801,16600,1999
E92000001,England,nation,2022-04-06,693802,16587,2176
E92000001,England,nation,2022-04-05,691626,16552,2308
E92000001,England,nation,2022-04-04,689318,16466,2164
E92000001,England,nation,2022-04-03,687154,15989,2103
E92000001,England,nation,2022-04-02,685051,15739,1826
E92000001,England,nation,2022-04-01,683225,15966,1846
E92000001,England,nation,2022-03-31,681379,15648,2124
E92000001,England,nation,2022-03-30,679255,15632,2355
E92000001,England,nation,2022-03-29,676900,15411,2219
E92000001,England,nation,2022-03-28,674681,15170,2280
E92000001,England,nation,2022-03-27,672401,14465,2037
E92000001,England,nation,2022-03-26,670364,13796,1869
E92000001,England,nation,2022-03-25,668495,13842,1925
E92000001,England,nation,2022-03-24,666570,13602,2006
E92000001,England,nation,2022-03-23,664564,13248,2137
E92000001,England,nation,2022-03-22,662427,13060,2098
E92000001,England,nation,2022-03-21,660329,12753,1984
E92000001,England,nation,2022-03-20,658345,12070,1793
E92000001,England,nation,2022-03-19,656552,11638,1813
E92000001,England,nation,2022-03-18,654739,11595,1629
E92000001,England,nation,2022-03-17,653110,11346,1738
E92000001,England,nation,2022-03-16,651372,11010,1823
E92000001,England,nation,2022-03-15,649549,10877,1800
E92000001,England,nation,2022-03-14,647749,10576,1651
E92000001,England,nation,2022-03-13,646098,9908,1591
E92000001,England,nation,2022-03-12,644507,9618,1368
E92000001,England,nation,2022-03-11,643139,9369,1412
E92000001,England,nation,2022-03-10,641727,9241,1414
E92000001,England,nation,2022-03-09,640313,9163,1521
E92000001,England,nation,2022-03-08,638792,9176,1389
E92000001,England,nation,2022-03-07,637403,8923,1278
E92000001,England,nation,2022-03-06,636125,8502,1260
E92000001,England,nation,2022-03-05,634865,8400,1050
E92000001,England,nation,2022-03-04,633815,8403,1044
E92000001,England,nation,2022-03-03,632771,8210,1226
E92000001,England,nation,2022-03-02,631545,8402,1184
E92000001,England,nation,2022-03-01,630361,8486,1111
E92000001,England,nation,2022-02-28,629250,8538,1145
E92000001,England,nation,2022-02-27,628105,8305,949
E92000001,England,nation,2022-02-26,627156,8197,888
E92000001,England,nation,2022-02-25,626268,8498,841
E92000001,England,nation,2022-02-24,625427,8645,984
E92000001,England,nation,2022-02-23,624443,8868,976
E92000001,England,nation,2022-02-22,623467,8948,976
E92000001,England,nation,2022-02-21,622491,9229,1030
E92000001,England,nation,2022-02-20,621461,9058,971
E92000001,England,nation,2022-02-19,620490,9187,834
E92000001,England,nation,2022-02-18,619656,9258,900
E92000001,England,nation,2022-02-17,618756,9600,971
E92000001,England,nation,2022-02-16,617785,9804,1120
E92000001,England,nation,2022-02-15,616665,10019,1144
E92000001,England,nation,2022-02-14,615521,10273,1132
E92000001,England,nation,2022-02-13,614389,10049,1029
E92000001,England,nation,2022-02-12,613360,10010,989
E92000001,England,nation,2022-02-11,612371,10367,996
E92000001,England,nation,2022-02-10,611375,10734,1167
E92000001,England,nation,2022-02-09,610208,11071,1220
E92000001,England,nation,2022-02-08,608988,11471,1266
E92000001,England,nation,2022-02-07,607722,11710,1234
E92000001,England,nation,2022-02-06,606488,11529,1211
