areaCode,areaName,areaType,date,newCasesBySpecimenDate,newDeaths28DaysByDeathDate
E12000001,North East,region,2022-06-20,614,0
E12000001,North East,region,2022-06-19,719,1
E12000001,North East,region,2022-06-18,521,3
E12000001,North East,region,2022-06-17,619,3
E12000001,North East,region,2022-06-16,579,5
E12000001,North East,region,2022-06-15,647,2
E12000001,North East,region,2022-06-14,672,1
E12000001,North East,region,2022-06-13,701,3
E12000001,North East,region,2022-06-12,579,1
E12000001,North East,region,2022-06-11,415,1
E12000001,North East,region,2022-06-10,450,6
E12000001,North East,region,2022-06-09,485,4
E12000001,North East,region,2022-06-08,539,3
E12000001,North East,region,2022-06-07,468,5
E12000001,North East,region,2022-06-06,523,3
E12000001,North East,region,2022-06-05,419,2
E12000001,North East,region,2022-06-04,294,4
E12000001,North East,region,2022-06-03,264,3
E12000001,North East,region,2022-06-02,232,1
E12000001,North East,region,2022-06-01,248,5
E12000001,North East,region,2022-05-31,244,1
E12000001,North East,region,2022-05-30,286,4
E12000001,North East,region,2022-05-29,229,5
E12000001,North East,region,2022-05-28,181,3
E12000001,North East,region,2022-05-27,222,2
E12000001,North East,region,2022-05-26,236,5
E12000001,North East,region,2022-05-25,284,1
E12000001,North East,region,2022-05-24,274,4
E12000001,North East,region,2022-05-23,312,2
E12000001,North East,region,2022-05-22,309,3
E12000001,North East,region,2022-05-21,205,5
E12000001,North East,region,2022-05-20,251,7
E12000001,North East,region,2022-05-19,314,4
E12000001,North East,region,2022-05-18,329,4
E12000001,North East,region,2022-05-17,362,4
E12000001,North East,region,2022-05-16,415,4
E12000001,North East,region,2022-05-15,392,7
E12000001,North East,region,2022-05-14,278,5
E12000001,North East,region,2022-05-13,322,5
E12000001,North East,region,2022-05-12,333,6
E12000001,North East,region,2022-05-11,374,8
E12000001,North East,region,2022-05-10,473,3
E12000001,North East,region,2022-05-09,549,8
E12000001,North East,region,2022-05-08,386,7
E12000001,North East,region,2022-05-07,339,6
E12000001,North East,region,2022-05-06,406,7
E12000001,North East,region,2022-05-05,494,10
E12000001,North East,region,2022-05-04,581,8
E12000001,North East,region,2022-05-03,658,8
E12000001,North East,region,2022-05-02,607,7
E12000001,North East,region,2022-05-01,418,4
E12000001,North East,region,2022-04-30,408,5
E12000001,North East,region,2022-04-29,479,6
E12000001,North East,region,2022-04-28,540,12
E12000001,North East,region,2022-04-27,578,12
E12000001,North East,region,2022-04-26,656,13
E12000001,North East,region,2022-04-25,789,9
E12000001,North East,region,2022-04-24,782,3
E12000001,North East,region,2022-04-23,623,12
E12000001,North East,region,2022-04-22,750,7
E12000001,North East,region,2022-04-21,889,12
E12000001,North East,region,2022-04-20,951,7
E12000001,North East,region,2022-04-19,1132,6
E12000001,North East,region,2022-04-18,1113,9
E12000001,North East,region,2022-04-17,965,12
E12000001,North East,region,2022-04-16,953,19
E12000001,North East,region,2022-04-15,938,13
E12000001,North East,region,2022-04-14,1133,12
E12000001,North East,region,2022-04-13,1372,12
E12000001,North East,region,2022-04-12,1439,8
E12000001,North East,region,2022-04-11,1626,14
E12000001,North East,region,2022-04-10,1308,9
E12000001,North East,region,2022-04-09,1193,12
E12000001,North East,region,2022-04-08,1368,17
E12000001,North East,region,2022-04-07,1693,7
E12000001,North East,region,2022-04-06,1965,11
E12000001,North East,region,2022-04-05,2201,23
E12000001,North East,region,2022-04-04,2256,12
E12000001,North East,region,2022-04-03,1919,13
E12000001,North East,region,2022-04-02,1561,11
E12000001,North East,region,2022-04-01,2028,14
E12000001,North East,region,2022-03-31,2297,10
E12000001,North East,region,2022-03-30,3149,10
E12000001,North East,region,2022-03-29,3328,12
E12000001,North East,region,2022-03-28,3949,7
E12000001,North East,region,2022-03-27,2750,10
E12000001,North East,region,2022-03-26,2374,9
E12000001,North East,region,2022-03-25,2623,9
E12000001,North East,region,2022-03-24,3002,9
E12000001,North East,region,2022-03-23,3420,6
E12000001,North East,region,2022-03-22,3660,14
