areaCode,areaName,areaType,date,newCasesBySpecimenDate,newDeaths28DaysByDeathDate,newDeaths28DaysByPublishDate
S92000003,Scotland,nation,2022-06-12,1177,,
S92000003,Scotland,nation,2022-06-11,1411,,
S92000003,Scotland,nation,2022-06-10,1513,,
S92000003,Scotland,nation,2022-06-09,1663,,
S92000003,Scotland,nation,2022-06-08,1741,,
S92000003,Scotland,nation,2022-06-07,1841,,
S92000003,Scotland,nation,2022-06-06,1867,,
S92000003,Scotland,nation,2022-06-05,1425,,
S92000003,Scotland,nation,2022-06-04,1176,,
S92000003,Scotland,nation,2022-06-03,1004,,
S92000003,Scotland,nation,2022-06-02,1101,,28
S92000003,Scotland,nation,2022-06-01,1248,0,0
S92000003,Scotland,nation,2022-05-31,1332,0,0
S92000003,Scotland,nation,2022-05-30,1152,5,17
S92000003,Scotland,nation,2022-05-29,958,1,0
S92000003,Scotland,nation,2022-05-28,808,1,0
S92000003,Scotland,nation,2022-05-27,867,5,0
S92000003,Scotland,nation,2022-05-26,898,3,25
S92000003,Scotland,nation,2022-05-25,1048,5,0
S92000003,Scotland,nation,2022-05-24,1032,7,0
S92000003,Scotland,nation,2022-05-23,1013,7,21
S92000003,Scotland,nation,2022-05-22,816,5,0
S92000003,Scotland,nation,2022-05-21,746,3,0
S92000003,Scotland,nation,2022-05-20,746,8,0
S92000003,Scotland,nation,2022-05-19,799,10,42
S92000003,Scotland,nation,2022-05-18,909,5,0
S92000003,Scotland,nation,2022-05-17,1062,4,0
S92000003,Scotland,nation,2022-05-16,1110,12,24
S92000003,Scotland,nation,2022-05-15,922,4,0
S92000003,Scotland,nation,2022-05-14,739,9,0
S92000003,Scotland,nation,2022-05-13,867,4,0
S92000003,Scotland,nation,2022-05-12,982,13,53
S92000003,Scotland,nation,2022-05-11,1093,11,0
S92000003,Scotland,nation,2022-05-10,1169,7,0
S92000003,Scotland,nation,2022-05-09,1355,5,22
S92000003,Scotland,nation,2022-05-08,1018,4,0
S92000003,Scotland,nation,2022-05-07,840,11,0
S92000003,Scotland,nation,2022-05-06,1046,8,18
S92000003,Scotland,nation,2022-05-05,1210,16,31
