areaCode,areaName,areaType,date,newPCRTestsByPublishDate
K02000001,United Kingdom,overview,2022-05-19,70599
K02000001,United Kingdom,overview,2022-05-18,83236
K02000001,United Kingdom,overview,2022-05-17,81046
K02000001,United Kingdom,overview,2022-05-16,78789
K02000001,United Kingdom,overview,2022-05-15,59654
K02000001,United Kingdom,overview,2022-05-14,65316
K02000001,United Kingdom,overview,2022-05-13,94727
K02000001,United Kingdom,overview,2022-05-12,74367
K02000001,United Kingdom,overview,2022-05-11,80398
K02000001,United Kingdom,overview,2022-05-10,85164
K02000001,United Kingdom,overview,2022-05-09,84869
K02000001,United Kingdom,overview,2022-05-08,66803
K02000001,United Kingdom,overview,2022-05-07,73147
K02000001,United Kingdom,overview,2022-05-06,87642
K02000001,United Kingdom,overview,2022-05-05,89208
K02000001,United Kingdom,overview,2022-05-04,103166
K02000001,United Kingdom,overview,2022-05-03,93396
K02000001,United Kingdom,overview,2022-05-02,74479
K02000001,United Kingdom,overview,2022-05-01,66757
K02000001,United Kingdom,overview,2022-04-30,75576
K02000001,United Kingdom,overview,2022-04-29,87359
K02000001,United Kingdom,overview,2022-04-28,95280
K02000001,United Kingdom,overview,2022-04-27,106614
K02000001,United Kingdom,overview,2022-04-26,121121
K02000001,United Kingdom,overview,2022-04-25,99673
K02000001,United Kingdom,overview,2022-04-24,76615
K02000001,United Kingdom,overview,2022-04-23,89376
K02000001,United Kingdom,overview,2022-04-22,100519
K02000001,United Kingdom,overview,2022-04-21,116479
K02000001,United Kingdom,overview,2022-04-20,126525
K02000001,United Kingdom,overview,2022-04-19,111134
K02000001,United Kingdom,overview,2022-04-18,102782
K02000001,United Kingdom,overview,2022-04-17,74438
K02000001,United Kingdom,overview,2022-04-16,76572
K02000001,United Kingdom,overview,2022-04-15,85916
K02000001,United Kingdom,overview,2022-04-14,101884
K02000001,United Kingdom,overview,2022-04-13,135754
K02000001,United Kingdom,overview,2022-04-12,124912
K02000001,United Kingdom,overview,2022-04-11,116414
K02000001,United Kingdom,overview,2022-04-10,92319
K02000001,United Kingdom,overview,2022-04-09,108183
K02000001,United Kingdom,overview,2022-04-08,120611
K02000001,United Kingdom,overview,2022-04-07,134066
K02000001,United Kingdom,overview,2022-04-06,160910
K02000001,United Kingdom,overview,2022-04-05,167828
K02000001,United Kingdom,overview,2022-04-04,129498
K02000001,United Kingdom,overview,2022-04-03,140104
K02000001,United Kingdom,overview,2022-04-02,127638
K02000001,United Kingdom,overview,2022-04-01,193607
K02000001,United Kingdom,overview,2022-03-31,203750
K02000001,United Kingdom,overview,2022-03-30,230178
K02000001,United Kingdom,overview,2022-03-29,248577
K02000001,United Kingdom,overview,2022-03-28,194074
K02000001,United Kingdom,overview,2022-03-27,159223
K02000001,United Kingdom,overview,2022-03-26,171266
K02000001,United Kingdom,overview,2022-03-25,213138
K02000001,United Kingdom,overview,2022-03-24,226954
K02000001,United Kingdom,overview,2022-03-23,271312
K02000001,United Kingdom,overview,2022-03-22,268138
K02000001,United Kingdom,overview,2022-03-21,197720
K02000001,United Kingdom,overview,2022-03-20,157616
K02000001,United Kingdom,overview,2022-03-19,186919
K02000001,United Kingdom,overview,2022-03-18,221709
K02000001,United Kingdom,overview,2022-03-17,234933
K02000001,United Kingdom,overview,2022-03-16,266977
K02000001,United Kingdom,overview,2022-03-15,259320
K02000001,United Kingdom,overview,2022-03-14,181915
K02000001,United Kingdom,overview,2022-03-13,151815
K02000001,United Kingdom,overview,2022-03-12,170796
K02000001,United Kingdom,overview,2022-03-11,198668
K02000001,United Kingdom,overview,2022-03-10,223076
K02000001,United Kingdom,overview,2022-03-09,222592
K02000001,United Kingdom,overview,2022-03-08,229791
K02000001,United Kingdom,overview,2022-03-07,180822
K02000001,United Kingdom,overview,2022-03-06,134582
K02000001,United Kingdom,overview,2022-03-05,159436
K02000001,United Kingdom,overview,2022-03-04,183390
K02000001,United Kingdom,overview,2022-03-03,198536
K02000001,United Kingdom,overview,2022-03-02,204568
K02000001,United Kingdom,overview,2022-03-01,200882
K02000001,United Kingdom,overview,2022-02-28,159872
K02000001,United Kingdom,overview,2022-02-27,122933
K02000001,United Kingdom,overview,2022-02-26,147150
K02000001,United Kingdom,overview,2022-02-25,163992
K02000001,United Kingdom,overview,2022-02-24,191576
K02000001,United Kingdom,overview,2022-02-23,211980
K02000001,United Kingdom,overview,2022-02-22,221062
K02000001,United Kingdom,overview,2022-02-21,180797
K02000001,United Kingdom,overview,2022-02-20,148836
K02000001,United Kingdom,overview,2022-02-19,154842
K02000001,United Kingdom,overview,2022-02-18,216118
K02000001,United Kingdom,overview,2022-02-17,268714
K02000001,United Kingdom,overview,2022-02-16,274456
K02000001,United Kingdom,overview,2022-02-15,286091
K02000001,United Kingdom,overview,2022-02-14,185674
K02000001,United Kingdom,overview,2022-02-13,181995
K02000001,United Kingdom,overview,2022-02-12,237365
K02000001,United Kingdom,overview,2022-02-11,287231
K02000001,United Kingdom,overview,2022-02-10,304236
K02000001,United Kingdom,overview,2022-02-09,325211
K02000001,United Kingdom,overview,2022-02-08,356195
K02000001,United Kingdom,overview,2022-02-07,220186
K02000001,United Kingdom,overview,2022-02-06,217320
K02000001,United Kingdom,overview,2022-02-05,279625
K02000001,United Kingdom,overview,2022-02-04,329023
K02000001,United Kingdom,overview,2022-02-03,373107
K02000001,United Kingdom,overview,2022-02-02,380664
K02000001,United Kingdom,overview,2022-02-01,384337
K02000001,United Kingdom,overview,2022-01-31,224512
K02000001,United Kingdom,overview,2022-01-30,257312
K02000001,United Kingdom,overview,2022-01-29,298281
K02000001,United Kingdom,overview,2022-01-28,360013
K02000001,United Kingdom,overview,2022-01-27,388869
K02000001,United Kingdom,overview,2022-01-26,407194
K02000001,United Kingdom,overview,2022-01-25,417982
K02000001,United Kingdom,overview,2022-01-24,266172
K02000001,United Kingdom,overview,2022-01-23,268816
K02000001,United Kingdom,overview,2022-01-22,329343
K02000001,United Kingdom,overview,2022-01-21,376270
K02000001,United Kingdom,overview,2022-01-20,427700
K02000001,United Kingdom,overview,2022-01-19,448033
K02000001,United Kingdom,overview,2022-01-18,431505
K02000001,United Kingdom,overview,2022-01-17,265292
K02000001,United Kingdom,overview,2022-01-16,277616
K02000001,United Kingdom,overview,2022-01-15,363397
K02000001,United Kingdom,overview,2022-01-14,412732
K02000001,United Kingdom,overview,2022-01-13,464296
K02000001,United Kingdom,overview,2022-01-12,518150
K02000001,United Kingdom,overview,2022-01-11,548619
K02000001,United Kingdom,overview,2022-01-10,507243
K02000001,United Kingdom,overview,2022-01-09,589677
K02000001,United Kingdom,overview,2022-01-08,580949
K02000001,United Kingdom,overview,2022-01-07,659311
K02000001,United Kingdom,overview,2022-01-06,674101
K02000001,United Kingdom,overview,2022-01-05,658300
K02000001,United Kingdom,overview,2022-01-04,678728
K02000001,United Kingdom,overview,2022-01-03,685185
K02000001,United Kingdom,overview,2022-01-02,558721
K02000001,United Kingdom,overview,2022-01-01,405981
K02000001,United Kingdom,overview,2021-12-31,544040
K02000001,United Kingdom,overview,2021-12-30,592140
K02000001,United Kingdom,overview,2021-12-29,518473
K02000001,United Kingdom,overview,2021-12-28,645448
K02000001,United Kingdom,overview,2021-12-27,474443
K02000001,United Kingdom,overview,2021-12-26,460386
