areaCode,areaName,areaType,date,age,VaccineRegisterPopulationByVaccinationDate,cumPeopleVaccinatedCompleteByVaccinationDate,newPeopleVaccinatedCompleteByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumPeopleVaccinatedThirdInjectionByVaccinationDate,newPeopleVaccinatedThirdInjectionByVaccinationDate,cumVaccinationFirstDoseUptakeByVaccinationDatePercentage,cumVaccinationSecondDoseUptakeByVaccinationDatePercentage,cumVaccinationThirdInjectionUptakeByVaccinationDatePercentage,cumVaccinationCompleteCoverageByVaccinationDatePercentage
E92000001,England,nation,2022-06-20,05_11,5083290.0,22310.0,176.0,475365.0,941.0,22310.0,176.0,35.0,1.0,9.4,0.4,,0.4
E92000001,England,nation,2022-06-20,12_15,2941717.0,1039551.0,1338.0,1570857.0,269.0,1039551.0,1338.0,17825.0,50.0,53.4,35.3,0.6,35.3
E92000001,England,nation,2022-06-20,16_17,1391611.0,696498.0,559.0,910807.0,64.0,696498.0,559.0,185988.0,505.0,65.4,50.0,13.4,50.0
E92000001,England,nation,2022-06-20,18_24,5309911.0,3458103.0,698.0,3847085.0,227.0,3458103.0,698.0,2000125.0,1683.0,72.5,65.1,37.7,65.1
E92000001,England,nation,2022-06-20,25_29,4560633.0,2889479.0,290.0,3117780.0,97.0,2889479.0,290.0,1805709.0,772.0,68.4,63.4,39.6,63.4
E92000001,England,nation,2022-06-20,30_34,4892415.0,3205077.0,194.0,3411543.0,100.0,3205077.0,194.0,2132752.0,625.0,69.7,65.5,43.6,65.5
E92000001,England,nation,2022-06-20,35_39,4681803.0,3240358.0,148.0,3402073.0,85.0,3240358.0,148.0,2314172.0,521.0,72.7,69.2,49.4,69.2
E92000001,England,nation,2022-06-20,40_44,4342029.0,3226788.0,93.0,3349770.0,39.0,3226788.0,93.0,2482791.0,382.0,77.1,74.3,57.2,74.3
E92000001,England,nation,2022-06-20,45_49,3956453.0,3153839.0,56.0,3243577.0,22.0,3153839.0,56.0,2580637.0,297.0,82.0,79.7,65.2,79.7
E92000001,England,nation,2022-06-20,50_54,4247326.0,3601435.0,34.0,3677509.0,22.0,3601435.0,34.0,3124025.0,200.0,86.6,84.8,73.6,84.8
E92000001,England,nation,2022-06-20,55_59,4172563.0,3654106.0,23.0,3716071.0,10.0,3654106.0,23.0,3276085.0,134.0,89.1,87.6,78.5,87.6
E92000001,England,nation,2022-06-20,60_64,3623377.0,3242519.0,12.0,3288324.0,10.0,3242519.0,12.0,2983039.0,87.0,90.8,89.5,82.3,89.5
E92000001,England,nation,2022-06-20,65_69,2989867.0,2729202.0,8.0,2760852.0,9.0,2729202.0,8.0,2585951.0,56.0,92.3,91.3,86.5,91.3
E92000001,England,nation,2022-06-20,70_74,2768721.0,2588857.0,7.0,2611366.0,11.0,2588857.0,7.0,2501015.0,41.0,94.3,93.5,90.3,93.5
E92000001,England,nation,2022-06-20,75_79,2348158.0,2234509.0,17.0,2249536.0,15.0,2234509.0,17.0,2180186.0,31.0,95.8,95.2,92.8,95.2
E92000001,England,nation,2022-06-20,80_84,1477960.0,1408804.0,9.0,1417629.0,17.0,1408804.0,9.0,1373262.0,37.0,95.9,95.3,92.9,95.3
E92000001,England,nation,2022-06-20,85_89,926733.0,884151.0,3.0,889384.0,0.0,884151.0,3.0,860659.0,35.0,96.0,95.4,92.9,95.4
E92000001,England,nation,2022-06-20,90+,536833.0,503856.0,3.0,506979.0,1.0,503856.0,3.0,489101.0,22.0,94.4,93.9,91.1,93.9
E92000001,England,nation,2022-06-19,05_11,5083290.0,22134.0,299.0,474424.0,2068.0,22134.0,299.0,34.0,0.0,9.3,0.4,,0.4
E92000001,England,nation,2022-06-19,12_15,2941717.0,1038213.0,1731.0,1570588.0,363.0,1038213.0,1731.0,17775.0,97.0,53.4,35.3,0.6,35.3
E92000001,England,nation,2022-06-19,16_17,1391611.0,695939.0,312.0,910743.0,48.0,695939.0,312.0,185483.0,443.0,65.4,50.0,13.3,50.0
E92000001,England,nation,2022-06-19,18_24,5309911.0,3457405.0,299.0,3846858.0,114.0,3457405.0,299.0,1998442.0,797.0,72.4,65.1,37.6,65.1
E92000001,England,nation,2022-06-19,25_29,4560633.0,2889189.0,134.0,3117683.0,67.0,2889189.0,134.0,1804937.0,406.0,68.4,63.4,39.6,63.4
E92000001,England,nation,2022-06-19,30_34,4892415.0,3204883.0,100.0,3411443.0,47.0,3204883.0,100.0,2132127.0,345.0,69.7,65.5,43.6,65.5
E92000001,England,nation,2022-06-19,35_39,4681803.0,3240210.0,70.0,3401988.0,22.0,3240210.0,70.0,2313651.0,253.0,72.7,69.2,49.4,69.2
E92000001,England,nation,2022-06-19,40_44,4342029.0,3226695.0,35.0,3349731.0,11.0,3226695.0,35.0,2482409.0,185.0,77.1,74.3,57.2,74.3
E92000001,England,nation,2022-06-19,45_49,3956453.0,3153783.0,40.0,3243555.0,17.0,3153783.0,40.0,2580340.0,133.0,82.0,79.7,65.2,79.7
E92000001,England,nation,2022-06-19,50_54,4247326.0,3601401.0,20.0,3677487.0,11.0,3601401.0,20.0,3123825.0,101.0,86.6,84.8,73.5,84.8
E92000001,England,nation,2022-06-19,55_59,4172563.0,3654083.0,12.0,3716061.0,6.0,3654083.0,12.0,3275951.0,69.0,89.1,87.6,78.5,87.6
E92000001,England,nation,2022-06-19,60_64,3623377.0,3242507.0,5.0,3288314.0,2.0,3242507.0,5.0,2982952.0,39.0,90.8,89.5,82.3,89.5
E92000001,England,nation,2022-06-19,65_69,2989867.0,2729194.0,2.0,2760843.0,9.0,2729194.0,2.0,2585895.0,11.0,92.3,91.3,86.5,91.3
E92000001,England,nation,2022-06-19,70_74,2768721.0,2588850.0,6.0,2611355.0,6.0,2588850.0,6.0,2500974.0,16.0,94.3,93.5,90.3,93.5
E92000001,England,nation,2022-06-19,75_79,2348158.0,2234492.0,9.0,2249521.0,5.0,2234492.0,9.0,2180155.0,12.0,95.8,95.2,92.8,95.2
E92000001,England,nation,2022-06-19,80_84,1477960.0,1408795.0,2.0,1417612.0,4.0,1408795.0,2.0,1373225.0,14.0,95.9,95.3,92.9,95.3
E92000001,England,nation,2022-06-19,85_89,926733.0,884148.0,2.0,889384.0,4.0,884148.0,2.0,860624.0,11.0,96.0,95.4,92.9,95.4
E92000001,England,nation,2022-06-19,90+,536833.0,503853.0,2.0,506978.0,0.0,503853.0,2.0,489079.0,12.0,94.4,93.9,91.1,93.9
E92000001,England,nation,2022-06-18,05_11,5083290.0,21835.0,950.0,472356.0,5333.0,21835.0,950.0,34.0,0.0,9.3,0.4,,0.4
E92000001,England,nation,2022-06-18,12_15,2941717.0,1036482.0,4960.0,1570225.0,1089.0,1036482.0,4960.0,17678.0,326.0,53.4,35.2,0.6,35.2
E92000001,England,nation,2022-06-18,16_17,1391611.0,695627.0,1080.0,910695.0,132.0,695627.0,1080.0,185040.0,1222.0,65.4,50.0,13.3,50.0
E92000001,England,nation,2022-06-18,18_24,5309911.0,3457106.0,918.0,3846744.0,297.0,3457106.0,918.0,1997645.0,2227.0,72.4,65.1,37.6,65.1
E92000001,England,nation,2022-06-18,25_29,4560633.0,2889055.0,336.0,3117616.0,178.0,2889055.0,336.0,1804531.0,1097.0,68.4,63.3,39.6,63.3
E92000001,England,nation,2022-06-18,30_34,4892415.0,3204783.0,262.0,3411396.0,151.0,3204783.0,262.0,2131782.0,904.0,69.7,65.5,43.6,65.5
E92000001,England,nation,2022-06-18,35_39,4681803.0,3240140.0,174.0,3401966.0,103.0,3240140.0,174.0,2313398.0,729.0,72.7,69.2,49.4,69.2
E92000001,England,nation,2022-06-18,40_44,4342029.0,3226660.0,140.0,3349720.0,58.0,3226660.0,140.0,2482224.0,589.0,77.1,74.3,57.2,74.3
E92000001,England,nation,2022-06-18,45_49,3956453.0,3153743.0,67.0,3243538.0,52.0,3153743.0,67.0,2580207.0,431.0,82.0,79.7,65.2,79.7
E92000001,England,nation,2022-06-18,50_54,4247326.0,3601381.0,54.0,3677476.0,26.0,3601381.0,54.0,3123724.0,295.0,86.6,84.8,73.5,84.8
E92000001,England,nation,2022-06-18,55_59,4172563.0,3654071.0,31.0,3716055.0,36.0,3654071.0,31.0,3275882.0,208.0,89.1,87.6,78.5,87.6
E92000001,England,nation,2022-06-18,60_64,3623377.0,3242502.0,16.0,3288312.0,19.0,3242502.0,16.0,2982913.0,125.0,90.8,89.5,82.3,89.5
E92000001,England,nation,2022-06-18,65_69,2989867.0,2729192.0,14.0,2760834.0,18.0,2729192.0,14.0,2585884.0,64.0,92.3,91.3,86.5,91.3
E92000001,England,nation,2022-06-18,70_74,2768721.0,2588844.0,9.0,2611349.0,15.0,2588844.0,9.0,2500958.0,34.0,94.3,93.5,90.3,93.5
E92000001,England,nation,2022-06-18,75_79,2348158.0,2234483.0,14.0,2249516.0,18.0,2234483.0,14.0,2180143.0,60.0,95.8,95.2,92.8,95.2
E92000001,England,nation,2022-06-18,80_84,1477960.0,1408793.0,14.0,1417608.0,14.0,1408793.0,14.0,1373211.0,46.0,95.9,95.3,92.9,95.3
E92000001,England,nation,2022-06-18,85_89,926733.0,884146.0,1.0,889380.0,3.0,884146.0,1.0,860613.0,26.0,96.0,95.4,92.9,95.4
E92000001,England,nation,2022-06-18,90+,536833.0,503851.0,1.0,506978.0,3.0,503851.0,1.0,489067.0,18.0,94.4,93.9,91.1,93.9
E92000001,England,nation,2022-06-17,05_11,5083290.0,20885.0,276.0,467023.0,1540.0,20885.0,276.0,34.0,0.0,9.2,0.4,,0.4
E92000001,England,nation,2022-06-17,12_15,2941717.0,1031522.0,1535.0,1569136.0,368.0,1031522.0,1535.0,17352.0,85.0,53.3,35.1,0.6,35.1
E92000001,England,nation,2022-06-17,16_17,1391611.0,694547.0,581.0,910563.0,74.0,694547.0,581.0,183818.0,630.0,65.4,49.9,13.2,49.9
E92000001,England,nation,2022-06-17,18_24,5309911.0,3456188.0,643.0,3846447.0,245.0,3456188.0,643.0,1995418.0,1671.0,72.4,65.1,37.6,65.1
E92000001,England,nation,2022-06-17,25_29,4560633.0,2888719.0,220.0,3117438.0,102.0,2888719.0,220.0,1803434.0,739.0,68.4,63.3,39.5,63.3
E92000001,England,nation,2022-06-17,30_34,4892415.0,3204521.0,198.0,3411245.0,117.0,3204521.0,198.0,2130878.0,667.0,69.7,65.5,43.6,65.5
E92000001,England,nation,2022-06-17,35_39,4681803.0,3239966.0,150.0,3401863.0,78.0,3239966.0,150.0,2312669.0,523.0,72.7,69.2,49.4,69.2
E92000001,England,nation,2022-06-17,40_44,4342029.0,3226520.0,100.0,3349662.0,49.0,3226520.0,100.0,2481635.0,399.0,77.1,74.3,57.2,74.3
E92000001,England,nation,2022-06-17,45_49,3956453.0,3153676.0,68.0,3243486.0,36.0,3153676.0,68.0,2579776.0,291.0,82.0,79.7,65.2,79.7
E92000001,England,nation,2022-06-17,50_54,4247326.0,3601327.0,42.0,3677450.0,19.0,3601327.0,42.0,3123429.0,242.0,86.6,84.8,73.5,84.8
E92000001,England,nation,2022-06-17,55_59,4172563.0,3654040.0,27.0,3716019.0,25.0,3654040.0,27.0,3275674.0,152.0,89.1,87.6,78.5,87.6
E92000001,England,nation,2022-06-17,60_64,3623377.0,3242486.0,13.0,3288293.0,15.0,3242486.0,13.0,2982788.0,102.0,90.8,89.5,82.3,89.5
E92000001,England,nation,2022-06-17,65_69,2989867.0,2729178.0,14.0,2760816.0,15.0,2729178.0,14.0,2585820.0,59.0,92.3,91.3,86.5,91.3
E92000001,England,nation,2022-06-17,70_74,2768721.0,2588835.0,6.0,2611334.0,12.0,2588835.0,6.0,2500924.0,46.0,94.3,93.5,90.3,93.5
E92000001,England,nation,2022-06-17,75_79,2348158.0,2234469.0,11.0,2249498.0,13.0,2234469.0,11.0,2180083.0,71.0,95.8,95.2,92.8,95.2
E92000001,England,nation,2022-06-17,80_84,1477960.0,1408779.0,17.0,1417594.0,6.0,1408779.0,17.0,1373165.0,44.0,95.9,95.3,92.9,95.3
E92000001,England,nation,2022-06-17,85_89,926733.0,884145.0,4.0,889377.0,4.0,884145.0,4.0,860587.0,33.0,96.0,95.4,92.9,95.4
E92000001,England,nation,2022-06-17,90+,536833.0,503850.0,4.0,506975.0,0.0,503850.0,4.0,489049.0,40.0,94.4,93.9,91.1,93.9
E92000001,England,nation,2022-06-16,05_11,5083290.0,20609.0,282.0,465483.0,1461.0,20609.0,282.0,34.0,2.0,9.2,0.4,,0.4
E92000001,England,nation,2022-06-16,12_15,2941717.0,1029987.0,1327.0,1568768.0,292.0,1029987.0,1327.0,17267.0,79.0,53.3,35.0,0.6,35.0
E92000001,England,nation,2022-06-16,16_17,1391611.0,693966.0,638.0,910489.0,90.0,693966.0,638.0,183188.0,648.0,65.4,49.9,13.2,49.9
E92000001,England,nation,2022-06-16,18_24,5309911.0,3455545.0,656.0,3846202.0,238.0,3455545.0,656.0,1993747.0,1849.0,72.4,65.1,37.5,65.1
E92000001,England,nation,2022-06-16,25_29,4560633.0,2888499.0,242.0,3117336.0,107.0,2888499.0,242.0,1802695.0,837.0,68.4,63.3,39.5,63.3
E92000001,England,nation,2022-06-16,30_34,4892415.0,3204323.0,192.0,3411128.0,85.0,3204323.0,192.0,2130211.0,718.0,69.7,65.5,43.5,65.5
E92000001,England,nation,2022-06-16,35_39,4681803.0,3239816.0,132.0,3401785.0,59.0,3239816.0,132.0,2312146.0,517.0,72.7,69.2,49.4,69.2
E92000001,England,nation,2022-06-16,40_44,4342029.0,3226420.0,106.0,3349613.0,38.0,3226420.0,106.0,2481236.0,384.0,77.1,74.3,57.1,74.3
E92000001,England,nation,2022-06-16,45_49,3956453.0,3153608.0,70.0,3243450.0,30.0,3153608.0,70.0,2579485.0,304.0,82.0,79.7,65.2,79.7
E92000001,England,nation,2022-06-16,50_54,4247326.0,3601285.0,45.0,3677431.0,23.0,3601285.0,45.0,3123187.0,233.0,86.6,84.8,73.5,84.8
E92000001,England,nation,2022-06-16,55_59,4172563.0,3654013.0,27.0,3715994.0,12.0,3654013.0,27.0,3275522.0,149.0,89.1,87.6,78.5,87.6
E92000001,England,nation,2022-06-16,60_64,3623377.0,3242473.0,24.0,3288278.0,16.0,3242473.0,24.0,2982686.0,111.0,90.8,89.5,82.3,89.5
E92000001,England,nation,2022-06-16,65_69,2989867.0,2729164.0,28.0,2760801.0,14.0,2729164.0,28.0,2585761.0,62.0,92.3,91.3,86.5,91.3
E92000001,England,nation,2022-06-16,70_74,2768721.0,2588829.0,8.0,2611322.0,12.0,2588829.0,8.0,2500878.0,51.0,94.3,93.5,90.3,93.5
E92000001,England,nation,2022-06-16,75_79,2348158.0,2234458.0,22.0,2249485.0,18.0,2234458.0,22.0,2180012.0,78.0,95.8,95.2,92.8,95.2
E92000001,England,nation,2022-06-16,80_84,1477960.0,1408762.0,14.0,1417588.0,7.0,1408762.0,14.0,1373121.0,51.0,95.9,95.3,92.9,95.3
E92000001,England,nation,2022-06-16,85_89,926733.0,884141.0,13.0,889373.0,3.0,884141.0,13.0,860554.0,75.0,96.0,95.4,92.9,95.4
E92000001,England,nation,2022-06-16,90+,536833.0,503846.0,8.0,506975.0,2.0,503846.0,8.0,489009.0,74.0,94.4,93.9,91.1,93.9
E92000001,England,nation,2022-06-15,05_11,5083290.0,20327.0,238.0,464022.0,1232.0,20327.0,238.0,32.0,1.0,9.1,0.4,,0.4
E92000001,England,nation,2022-06-15,12_15,2941717.0,1028660.0,1372.0,1568476.0,356.0,1028660.0,1372.0,17188.0,78.0,53.3,35.0,0.6,35.0
E92000001,England,nation,2022-06-15,16_17,1391611.0,693328.0,560.0,910399.0,80.0,693328.0,560.0,182540.0,548.0,65.4,49.8,13.1,49.8
E92000001,England,nation,2022-06-15,18_24,5309911.0,3454889.0,747.0,3845964.0,262.0,3454889.0,747.0,1991898.0,1843.0,72.4,65.1,37.5,65.1
E92000001,England,nation,2022-06-15,25_29,4560633.0,2888257.0,293.0,3117229.0,142.0,2888257.0,293.0,1801858.0,954.0,68.4,63.3,39.5,63.3
E92000001,England,nation,2022-06-15,30_34,4892415.0,3204131.0,207.0,3411043.0,97.0,3204131.0,207.0,2129493.0,773.0,69.7,65.5,43.5,65.5
E92000001,England,nation,2022-06-15,35_39,4681803.0,3239684.0,125.0,3401726.0,94.0,3239684.0,125.0,2311629.0,575.0,72.7,69.2,49.4,69.2
E92000001,England,nation,2022-06-15,40_44,4342029.0,3226314.0,103.0,3349575.0,60.0,3226314.0,103.0,2480852.0,434.0,77.1,74.3,57.1,74.3
E92000001,England,nation,2022-06-15,45_49,3956453.0,3153538.0,71.0,3243420.0,28.0,3153538.0,71.0,2579181.0,325.0,82.0,79.7,65.2,79.7
E92000001,England,nation,2022-06-15,50_54,4247326.0,3601240.0,40.0,3677408.0,26.0,3601240.0,40.0,3122954.0,243.0,86.6,84.8,73.5,84.8
E92000001,England,nation,2022-06-15,55_59,4172563.0,3653986.0,33.0,3715982.0,14.0,3653986.0,33.0,3275373.0,168.0,89.1,87.6,78.5,87.6
E92000001,England,nation,2022-06-15,60_64,3623377.0,3242449.0,22.0,3288262.0,16.0,3242449.0,22.0,2982575.0,107.0,90.8,89.5,82.3,89.5
E92000001,England,nation,2022-06-15,65_69,2989867.0,2729136.0,11.0,2760787.0,14.0,2729136.0,11.0,2585699.0,90.0,92.3,91.3,86.5,91.3
E92000001,England,nation,2022-06-15,70_74,2768721.0,2588821.0,11.0,2611310.0,5.0,2588821.0,11.0,2500827.0,54.0,94.3,93.5,90.3,93.5
E92000001,England,nation,2022-06-15,75_79,2348158.0,2234436.0,25.0,2249467.0,22.0,2234436.0,25.0,2179934.0,87.0,95.8,95.2,92.8,95.2
E92000001,England,nation,2022-06-15,80_84,1477960.0,1408748.0,21.0,1417581.0,15.0,1408748.0,21.0,1373070.0,69.0,95.9,95.3,92.9,95.3
E92000001,England,nation,2022-06-15,85_89,926733.0,884128.0,8.0,889370.0,10.0,884128.0,8.0,860479.0,72.0,96.0,95.4,92.9,95.4
E92000001,England,nation,2022-06-15,90+,536833.0,503838.0,4.0,506973.0,1.0,503838.0,4.0,488935.0,57.0,94.4,93.9,91.1,93.9
E92000001,England,nation,2022-06-14,05_11,5083290.0,20089.0,225.0,462790.0,1463.0,20089.0,225.0,31.0,0.0,9.1,0.4,,0.4
E92000001,England,nation,2022-06-14,12_15,2941717.0,1027288.0,1433.0,1568120.0,346.0,1027288.0,1433.0,17110.0,91.0,53.3,34.9,0.6,34.9
E92000001,England,nation,2022-06-14,16_17,1391611.0,692768.0,469.0,910319.0,80.0,692768.0,469.0,181992.0,474.0,65.4,49.8,13.1,49.8
E92000001,England,nation,2022-06-14,18_24,5309911.0,3454142.0,751.0,3845702.0,266.0,3454142.0,751.0,1990055.0,2106.0,72.4,65.1,37.5,65.1
E92000001,England,nation,2022-06-14,25_29,4560633.0,2887964.0,262.0,3117087.0,119.0,2887964.0,262.0,1800904.0,990.0,68.3,63.3,39.5,63.3
E92000001,England,nation,2022-06-14,30_34,4892415.0,3203924.0,186.0,3410946.0,100.0,3203924.0,186.0,2128720.0,773.0,69.7,65.5,43.5,65.5
E92000001,England,nation,2022-06-14,35_39,4681803.0,3239559.0,154.0,3401632.0,71.0,3239559.0,154.0,2311054.0,612.0,72.7,69.2,49.4,69.2
E92000001,England,nation,2022-06-14,40_44,4342029.0,3226211.0,121.0,3349515.0,48.0,3226211.0,121.0,2480418.0,444.0,77.1,74.3,57.1,74.3
E92000001,England,nation,2022-06-14,45_49,3956453.0,3153467.0,68.0,3243392.0,29.0,3153467.0,68.0,2578856.0,370.0,82.0,79.7,65.2,79.7
E92000001,England,nation,2022-06-14,50_54,4247326.0,3601200.0,35.0,3677382.0,26.0,3601200.0,35.0,3122711.0,248.0,86.6,84.8,73.5,84.8
E92000001,England,nation,2022-06-14,55_59,4172563.0,3653953.0,32.0,3715968.0,22.0,3653953.0,32.0,3275205.0,193.0,89.1,87.6,78.5,87.6
E92000001,England,nation,2022-06-14,60_64,3623377.0,3242427.0,14.0,3288246.0,16.0,3242427.0,14.0,2982468.0,122.0,90.8,89.5,82.3,89.5
E92000001,England,nation,2022-06-14,65_69,2989867.0,2729125.0,15.0,2760773.0,11.0,2729125.0,15.0,2585609.0,70.0,92.3,91.3,86.5,91.3
E92000001,England,nation,2022-06-14,70_74,2768721.0,2588810.0,13.0,2611305.0,11.0,2588810.0,13.0,2500773.0,63.0,94.3,93.5,90.3,93.5
E92000001,England,nation,2022-06-14,75_79,2348158.0,2234411.0,24.0,2249445.0,14.0,2234411.0,24.0,2179847.0,80.0,95.8,95.2,92.8,95.2
E92000001,England,nation,2022-06-14,80_84,1477960.0,1408727.0,15.0,1417566.0,6.0,1408727.0,15.0,1373001.0,72.0,95.9,95.3,92.9,95.3
E92000001,England,nation,2022-06-14,85_89,926733.0,884120.0,6.0,889360.0,6.0,884120.0,6.0,860407.0,68.0,96.0,95.4,92.8,95.4
E92000001,England,nation,2022-06-14,90+,536833.0,503834.0,5.0,506972.0,3.0,503834.0,5.0,488878.0,60.0,94.4,93.9,91.1,93.9
E92000001,England,nation,2022-06-13,05_11,5083290.0,19864.0,138.0,461327.0,974.0,19864.0,138.0,31.0,0.0,9.1,0.4,,0.4
E92000001,England,nation,2022-06-13,12_15,2941717.0,1025855.0,1098.0,1567774.0,265.0,1025855.0,1098.0,17019.0,67.0,53.3,34.9,0.6,34.9
E92000001,England,nation,2022-06-13,16_17,1391611.0,692299.0,433.0,910239.0,75.0,692299.0,433.0,181518.0,467.0,65.4,49.7,13.0,49.7
E92000001,England,nation,2022-06-13,18_24,5309911.0,3453391.0,697.0,3845436.0,230.0,3453391.0,697.0,1987949.0,1842.0,72.4,65.0,37.4,65.0
E92000001,England,nation,2022-06-13,25_29,4560633.0,2887702.0,246.0,3116968.0,131.0,2887702.0,246.0,1799914.0,869.0,68.3,63.3,39.5,63.3
E92000001,England,nation,2022-06-13,30_34,4892415.0,3203738.0,191.0,3410846.0,88.0,3203738.0,191.0,2127947.0,680.0,69.7,65.5,43.5,65.5
E92000001,England,nation,2022-06-13,35_39,4681803.0,3239405.0,139.0,3401561.0,76.0,3239405.0,139.0,2310442.0,563.0,72.7,69.2,49.3,69.2
E92000001,England,nation,2022-06-13,40_44,4342029.0,3226090.0,76.0,3349467.0,41.0,3226090.0,76.0,2479974.0,417.0,77.1,74.3,57.1,74.3
E92000001,England,nation,2022-06-13,45_49,3956453.0,3153399.0,42.0,3243363.0,28.0,3153399.0,42.0,2578486.0,279.0,82.0,79.7,65.2,79.7
E92000001,England,nation,2022-06-13,50_54,4247326.0,3601165.0,43.0,3677356.0,27.0,3601165.0,43.0,3122463.0,219.0,86.6,84.8,73.5,84.8
E92000001,England,nation,2022-06-13,55_59,4172563.0,3653921.0,31.0,3715946.0,13.0,3653921.0,31.0,3275012.0,180.0,89.1,87.6,78.5,87.6
E92000001,England,nation,2022-06-13,60_64,3623377.0,3242413.0,17.0,3288230.0,16.0,3242413.0,17.0,2982346.0,105.0,90.8,89.5,82.3,89.5
E92000001,England,nation,2022-06-13,65_69,2989867.0,2729110.0,14.0,2760762.0,8.0,2729110.0,14.0,2585539.0,64.0,92.3,91.3,86.5,91.3
E92000001,England,nation,2022-06-13,70_74,2768721.0,2588797.0,4.0,2611294.0,9.0,2588797.0,4.0,2500710.0,38.0,94.3,93.5,90.3,93.5
E92000001,England,nation,2022-06-13,75_79,2348158.0,2234387.0,9.0,2249431.0,7.0,2234387.0,9.0,2179767.0,57.0,95.8,95.2,92.8,95.2
E92000001,England,nation,2022-06-13,80_84,1477960.0,1408712.0,11.0,1417560.0,10.0,1408712.0,11.0,1372929.0,37.0,95.9,95.3,92.9,95.3
E92000001,England,nation,2022-06-13,85_89,926733.0,884114.0,9.0,889354.0,5.0,884114.0,9.0,860339.0,39.0,96.0,95.4,92.8,95.4
E92000001,England,nation,2022-06-13,90+,536833.0,503829.0,11.0,506969.0,7.0,503829.0,11.0,488818.0,37.0,94.4,93.9,91.1,93.9
E92000001,England,nation,2022-06-12,05_11,5083290.0,19726.0,265.0,460353.0,2550.0,19726.0,265.0,31.0,0.0,9.1,0.4,,0.4
E92000001,England,nation,2022-06-12,12_15,2941717.0,1024757.0,1996.0,1567509.0,505.0,1024757.0,1996.0,16952.0,115.0,53.3,34.8,0.6,34.8
E92000001,England,nation,2022-06-12,16_17,1391611.0,691866.0,423.0,910164.0,46.0,691866.0,423.0,181051.0,497.0,65.4,49.7,13.0,49.7
E92000001,England,nation,2022-06-12,18_24,5309911.0,3452694.0,372.0,3845206.0,128.0,3452694.0,372.0,1986107.0,1183.0,72.4,65.0,37.4,65.0
E92000001,England,nation,2022-06-12,25_29,4560633.0,2887456.0,163.0,3116837.0,67.0,2887456.0,163.0,1799045.0,628.0,68.3,63.3,39.4,63.3
E92000001,England,nation,2022-06-12,30_34,4892415.0,3203547.0,115.0,3410758.0,60.0,3203547.0,115.0,2127267.0,490.0,69.7,65.5,43.5,65.5
E92000001,England,nation,2022-06-12,35_39,4681803.0,3239266.0,69.0,3401485.0,34.0,3239266.0,69.0,2309879.0,321.0,72.7,69.2,49.3,69.2
E92000001,England,nation,2022-06-12,40_44,4342029.0,3226014.0,63.0,3349426.0,16.0,3226014.0,63.0,2479557.0,283.0,77.1,74.3,57.1,74.3
E92000001,England,nation,2022-06-12,45_49,3956453.0,3153357.0,38.0,3243335.0,14.0,3153357.0,38.0,2578207.0,196.0,82.0,79.7,65.2,79.7
E92000001,England,nation,2022-06-12,50_54,4247326.0,3601122.0,22.0,3677329.0,15.0,3601122.0,22.0,3122244.0,128.0,86.6,84.8,73.5,84.8
E92000001,England,nation,2022-06-12,55_59,4172563.0,3653890.0,12.0,3715933.0,10.0,3653890.0,12.0,3274832.0,104.0,89.1,87.6,78.5,87.6
E92000001,England,nation,2022-06-12,60_64,3623377.0,3242396.0,10.0,3288214.0,8.0,3242396.0,10.0,2982241.0,53.0,90.7,89.5,82.3,89.5
E92000001,England,nation,2022-06-12,65_69,2989867.0,2729096.0,5.0,2760754.0,4.0,2729096.0,5.0,2585475.0,26.0,92.3,91.3,86.5,91.3
E92000001,England,nation,2022-06-12,70_74,2768721.0,2588793.0,0.0,2611285.0,3.0,2588793.0,0.0,2500672.0,19.0,94.3,93.5,90.3,93.5
E92000001,England,nation,2022-06-12,75_79,2348158.0,2234378.0,10.0,2249424.0,8.0,2234378.0,10.0,2179710.0,32.0,95.8,95.2,92.8,95.2
E92000001,England,nation,2022-06-12,80_84,1477960.0,1408701.0,5.0,1417550.0,3.0,1408701.0,5.0,1372892.0,14.0,95.9,95.3,92.9,95.3
E92000001,England,nation,2022-06-12,85_89,926733.0,884105.0,5.0,889349.0,0.0,884105.0,5.0,860300.0,7.0,96.0,95.4,92.8,95.4
E92000001,England,nation,2022-06-12,90+,536833.0,503818.0,1.0,506962.0,1.0,503818.0,1.0,488781.0,9.0,94.4,93.9,91.0,93.9
