areaCode,areaName,areaType,date,newCasesBySpecimenDate,newDeaths28DaysByDeathDate
W92000004,Wales,nation,2022-06-15,4,0
W92000004,Wales,nation,2022-06-14,59,0
W92000004,Wales,nation,2022-06-13,99,0
W92000004,Wales,nation,2022-06-12,56,2
W92000004,Wales,nation,2022-06-11,56,1
W92000004,Wales,nation,2022-06-10,61,0
W92000004,Wales,nation,2022-06-09,49,3
W92000004,Wales,nation,2022-06-08,66,3
W92000004,Wales,nation,2022-06-07,70,0
W92000004,Wales,nation,2022-06-06,74,2
W92000004,Wales,nation,2022-06-05,37,3
W92000004,Wales,nation,2022-06-04,35,0
W92000004,Wales,nation,2022-06-03,51,3
W92000004,Wales,nation,2022-06-02,26,1
W92000004,Wales,nation,2022-06-01,54,2
W92000004,Wales,nation,2022-05-31,30,2
W92000004,Wales,nation,2022-05-30,33,3
W92000004,Wales,nation,2022-05-29,34,1
W92000004,Wales,nation,2022-05-28,27,1
W92000004,Wales,nation,2022-05-27,45,3
W92000004,Wales,nation,2022-05-26,35,1
W92000004,Wales,nation,2022-05-25,55,3
W92000004,Wales,nation,2022-05-24,53,2
W92000004,Wales,nation,2022-05-23,52,4
W92000004,Wales,nation,2022-05-22,30,4
W92000004,Wales,nation,2022-05-21,29,4
W92000004,Wales,nation,2022-05-20,27,1
W92000004,Wales,nation,2022-05-19,51,4
W92000004,Wales,nation,2022-05-18,68,4
W92000004,Wales,nation,2022-05-17,73,5
W92000004,Wales,nation,2022-05-16,67,2
W92000004,Wales,nation,2022-05-15,40,1
W92000004,Wales,nation,2022-05-14,46,0
W92000004,Wales,nation,2022-05-13,67,1
W92000004,Wales,nation,2022-05-12,62,3
W92000004,Wales,nation,2022-05-11,78,4
W92000004,Wales,nation,2022-05-10,90,4
W92000004,Wales,nation,2022-05-09,99,3
W92000004,Wales,nation,2022-05-08,59,3
W92000004,Wales,nation,2022-05-07,69,5
W92000004,Wales,nation,2022-05-06,128,2
W92000004,Wales,nation,2022-05-05,113,5
W92000004,Wales,nation,2022-05-04,123,2
W92000004,Wales,nation,2022-05-03,154,5
W92000004,Wales,nation,2022-05-02,80,5
W92000004,Wales,nation,2022-05-01,76,5
W92000004,Wales,nation,2022-04-30,73,3
W92000004,Wales,nation,2022-04-29,92,6
W92000004,Wales,nation,2022-04-28,138,5
W92000004,Wales,nation,2022-04-27,115,8
W92000004,Wales,nation,2022-04-26,150,7
W92000004,Wales,nation,2022-04-25,148,9
W92000004,Wales,nation,2022-04-24,109,5
W92000004,Wales,nation,2022-04-23,112,6
W92000004,Wales,nation,2022-04-22,154,9
W92000004,Wales,nation,2022-04-21,136,6
W92000004,Wales,nation,2022-04-20,163,6
W92000004,Wales,nation,2022-04-19,214,11
W92000004,Wales,nation,2022-04-18,184,5
W92000004,Wales,nation,2022-04-17,167,6
W92000004,Wales,nation,2022-04-16,140,7
W92000004,Wales,nation,2022-04-15,150,9
W92000004,Wales,nation,2022-04-14,233,5
W92000004,Wales,nation,2022-04-13,254,5
W92000004,Wales,nation,2022-04-12,277,7
W92000004,Wales,nation,2022-04-11,319,6
W92000004,Wales,nation,2022-04-10,207,9
W92000004,Wales,nation,2022-04-09,196,7
W92000004,Wales,nation,2022-04-08,314,7
W92000004,Wales,nation,2022-04-07,341,12
W92000004,Wales,nation,2022-04-06,367,4
W92000004,Wales,nation,2022-04-05,463,10
W92000004,Wales,nation,2022-04-04,473,8
W92000004,Wales,nation,2022-04-03,256,6
W92000004,Wales,nation,2022-04-02,318,8
W92000004,Wales,nation,2022-04-01,524,5
W92000004,Wales,nation,2022-03-31,1025,6
W92000004,Wales,nation,2022-03-30,1380,9
W92000004,Wales,nation,2022-03-29,1473,7
W92000004,Wales,nation,2022-03-28,1957,9
W92000004,Wales,nation,2022-03-27,1173,9
W92000004,Wales,nation,2022-03-26,1288,9
W92000004,Wales,nation,2022-03-25,1923,11
W92000004,Wales,nation,2022-03-24,2063,9
W92000004,Wales,nation,2022-03-23,2489,8
W92000004,Wales,nation,2022-03-22,2502,6
W92000004,Wales,nation,2022-03-21,2898,8
W92000004,Wales,nation,2022-03-20,1465,7
W92000004,Wales,nation,2022-03-19,1399,6
W92000004,Wales,nation,2022-03-18,1810,4
W92000004,Wales,nation,2022-03-17,2075,6
W92000004,Wales,nation,2022-03-16,2306,10
W92000004,Wales,nation,2022-03-15,2396,4
W92000004,Wales,nation,2022-03-14,2471,6
W92000004,Wales,nation,2022-03-13,1284,4
W92000004,Wales,nation,2022-03-12,1147,1
W92000004,Wales,nation,2022-03-11,1388,4
W92000004,Wales,nation,2022-03-10,1501,1
W92000004,Wales,nation,2022-03-09,1569,2
W92000004,Wales,nation,2022-03-08,1492,1
W92000004,Wales,nation,2022-03-07,1494,2
W92000004,Wales,nation,2022-03-06,855,4
W92000004,Wales,nation,2022-03-05,787,4
W92000004,Wales,nation,2022-03-04,832,4
W92000004,Wales,nation,2022-03-03,1052,3
W92000004,Wales,nation,2022-03-02,1055,3
W92000004,Wales,nation,2022-03-01,983,2
W92000004,Wales,nation,2022-02-28,999,9
W92000004,Wales,nation,2022-02-27,589,4
W92000004,Wales,nation,2022-02-26,499,5
W92000004,Wales,nation,2022-02-25,617,7
W92000004,Wales,nation,2022-02-24,708,10
W92000004,Wales,nation,2022-02-23,858,2
W92000004,Wales,nation,2022-02-22,823,5
W92000004,Wales,nation,2022-02-21,1087,2
W92000004,Wales,nation,2022-02-20,559,5
W92000004,Wales,nation,2022-02-19,842,7
W92000004,Wales,nation,2022-02-18,278,6
W92000004,Wales,nation,2022-02-17,968,5
W92000004,Wales,nation,2022-02-16,1251,4
W92000004,Wales,nation,2022-02-15,1272,9
W92000004,Wales,nation,2022-02-14,1450,6
W92000004,Wales,nation,2022-02-13,855,7
W92000004,Wales,nation,2022-02-12,792,2
W92000004,Wales,nation,2022-02-11,1071,5
W92000004,Wales,nation,2022-02-10,1380,4
W92000004,Wales,nation,2022-02-09,1649,6
W92000004,Wales,nation,2022-02-08,1815,8
W92000004,Wales,nation,2022-02-07,1953,10
W92000004,Wales,nation,2022-02-06,1147,8
W92000004,Wales,nation,2022-02-05,1095,4
W92000004,Wales,nation,2022-02-04,1661,9
W92000004,Wales,nation,2022-02-03,1770,7
W92000004,Wales,nation,2022-02-02,2276,6
W92000004,Wales,nation,2022-02-01,2457,8
W92000004,Wales,nation,2022-01-31,2648,9
W92000004,Wales,nation,2022-01-30,1544,10
W92000004,Wales,nation,2022-01-29,1582,4
W92000004,Wales,nation,2022-01-28,2140,8
W92000004,Wales,nation,2022-01-27,2461,6
W92000004,Wales,nation,2022-01-26,2926,8
W92000004,Wales,nation,2022-01-25,2944,7
W92000004,Wales,nation,2022-01-24,3300,7
W92000004,Wales,nation,2022-01-23,2047,8
W92000004,Wales,nation,2022-01-22,1867,6
W92000004,Wales,nation,2022-01-21,2351,7
W92000004,Wales,nation,2022-01-20,2437,3
W92000004,Wales,nation,2022-01-19,2484,9
W92000004,Wales,nation,2022-01-18,2603,11
W92000004,Wales,nation,2022-01-17,2958,14
W92000004,Wales,nation,2022-01-16,1783,15
W92000004,Wales,nation,2022-01-15,1483,12
W92000004,Wales,nation,2022-01-14,1945,5
W92000004,Wales,nation,2022-01-13,2100,11
W92000004,Wales,nation,2022-01-12,2406,6
W92000004,Wales,nation,2022-01-11,2733,6
W92000004,Wales,nation,2022-01-10,3596,10
W92000004,Wales,nation,2022-01-09,2180,11
W92000004,Wales,nation,2022-01-08,2465,6
W92000004,Wales,nation,2022-01-07,3367,7
W92000004,Wales,nation,2022-01-06,4714,13
W92000004,Wales,nation,2022-01-05,8991,5
W92000004,Wales,nation,2022-01-04,12452,15
W92000004,Wales,nation,2022-01-03,9457,8
W92000004,Wales,nation,2022-01-02,9855,10
W92000004,Wales,nation,2022-01-01,6224,5
W92000004,Wales,nation,2021-12-31,9912,8
W92000004,Wales,nation,2021-12-30,12832,6
W92000004,Wales,nation,2021-12-29,16252,8
W92000004,Wales,nation,2021-12-28,13615,4
W92000004,Wales,nation,2021-12-27,13373,4
W92000004,Wales,nation,2021-12-26,6364,5
W92000004,Wales,nation,2021-12-25,2940,1
W92000004,Wales,nation,2021-12-24,5718,7
W92000004,Wales,nation,2021-12-23,6878,1
W92000004,Wales,nation,2021-12-22,7134,3
W92000004,Wales,nation,2021-12-21,6326,1
W92000004,Wales,nation,2021-12-20,5027,7
W92000004,Wales,nation,2021-12-19,2928,3
W92000004,Wales,nation,2021-12-18,2772,7
W92000004,Wales,nation,2021-12-17,3216,4
W92000004,Wales,nation,2021-12-16,3596,6
W92000004,Wales,nation,2021-12-15,3606,6
W92000004,Wales,nation,2021-12-14,3302,5
W92000004,Wales,nation,2021-12-13,2937,3
W92000004,Wales,nation,2021-12-12,1943,5
W92000004,Wales,nation,2021-12-11,1896,6
W92000004,Wales,nation,2021-12-10,2207,4
W92000004,Wales,nation,2021-12-09,2424,9
W92000004,Wales,nation,2021-12-08,2663,2
W92000004,Wales,nation,2021-12-07,2500,4
W92000004,Wales,nation,2021-12-06,2816,8
W92000004,Wales,nation,2021-12-05,1957,10
W92000004,Wales,nation,2021-12-04,1855,9
W92000004,Wales,nation,2021-12-03,2198,5
W92000004,Wales,nation,2021-12-02,2417,7
W92000004,Wales,nation,2021-12-01,2438,5
W92000004,Wales,nation,2021-11-30,2761,3
W92000004,Wales,nation,2021-11-29,2854,3
W92000004,Wales,nation,2021-11-28,2009,6
W92000004,Wales,nation,2021-11-27,1591,4
W92000004,Wales,nation,2021-11-26,1985,7
W92000004,Wales,nation,2021-11-25,2152,7
W92000004,Wales,nation,2021-11-24,2323,8
W92000004,Wales,nation,2021-11-23,2490,4
W92000004,Wales,nation,2021-11-22,2810,6
W92000004,Wales,nation,2021-11-21,1832,4
W92000004,Wales,nation,2021-11-20,1816,11
W92000004,Wales,nation,2021-11-19,1976,9
W92000004,Wales,nation,2021-11-18,2268,5
W92000004,Wales,nation,2021-11-17,2551,10
W92000004,Wales,nation,2021-11-16,2708,5
W92000004,Wales,nation,2021-11-15,2914,12
W92000004,Wales,nation,2021-11-14,2023,5
W92000004,Wales,nation,2021-11-13,1848,11
W92000004,Wales,nation,2021-11-12,2246,9
W92000004,Wales,nation,2021-11-11,2575,9
W92000004,Wales,nation,2021-11-10,2764,10
W92000004,Wales,nation,2021-11-09,2490,10
W92000004,Wales,nation,2021-11-08,2624,9
W92000004,Wales,nation,2021-11-07,1799,12
W92000004,Wales,nation,2021-11-06,1629,7
W92000004,Wales,nation,2021-11-05,2029,11
W92000004,Wales,nation,2021-11-04,2276,8
W92000004,Wales,nation,2021-11-03,2401,8
W92000004,Wales,nation,2021-11-02,2463,9
W92000004,Wales,nation,2021-11-01,2874,9
W92000004,Wales,nation,2021-10-31,2203,11
W92000004,Wales,nation,2021-10-30,2319,12
W92000004,Wales,nation,2021-10-29,2617,12
W92000004,Wales,nation,2021-10-28,2614,12
W92000004,Wales,nation,2021-10-27,2594,7
W92000004,Wales,nation,2021-10-26,2639,10
W92000004,Wales,nation,2021-10-25,2961,5
W92000004,Wales,nation,2021-10-24,2286,9
W92000004,Wales,nation,2021-10-23,2193,4
W92000004,Wales,nation,2021-10-22,2643,5
W92000004,Wales,nation,2021-10-21,2921,15
W92000004,Wales,nation,2021-10-20,3439,16
W92000004,Wales,nation,2021-10-19,3656,11
W92000004,Wales,nation,2021-10-18,4054,8
W92000004,Wales,nation,2021-10-17,2870,8
W92000004,Wales,nation,2021-10-16,3077,12
W92000004,Wales,nation,2021-10-15,3249,12
W92000004,Wales,nation,2021-10-14,3210,14
W92000004,Wales,nation,2021-10-13,3273,7
W92000004,Wales,nation,2021-10-12,3382,9
W92000004,Wales,nation,2021-10-11,2907,5
W92000004,Wales,nation,2021-10-10,1873,10
W92000004,Wales,nation,2021-10-09,1972,3
W92000004,Wales,nation,2021-10-08,2223,6
W92000004,Wales,nation,2021-10-07,2418,9
W92000004,Wales,nation,2021-10-06,2782,12
W92000004,Wales,nation,2021-10-05,2870,7
W92000004,Wales,nation,2021-10-04,2962,4
W92000004,Wales,nation,2021-10-03,1883,5
W92000004,Wales,nation,2021-10-02,1671,8
W92000004,Wales,nation,2021-10-01,1961,10
W92000004,Wales,nation,2021-09-30,2397,11
W92000004,Wales,nation,2021-09-29,2377,12
W92000004,Wales,nation,2021-09-28,2598,10
W92000004,Wales,nation,2021-09-27,2531,9
W92000004,Wales,nation,2021-09-26,2205,5
W92000004,Wales,nation,2021-09-25,2215,7
W92000004,Wales,nation,2021-09-24,2701,5
W92000004,Wales,nation,2021-09-23,3310,8
W92000004,Wales,nation,2021-09-22,3349,5
W92000004,Wales,nation,2021-09-21,3286,3
W92000004,Wales,nation,2021-09-20,3374,8
W92000004,Wales,nation,2021-09-19,2556,3
W92000004,Wales,nation,2021-09-18,2238,5
W92000004,Wales,nation,2021-09-17,2739,15
W92000004,Wales,nation,2021-09-16,2751,14
W92000004,Wales,nation,2021-09-15,2729,15
W92000004,Wales,nation,2021-09-14,2726,6
W92000004,Wales,nation,2021-09-13,2986,7
W92000004,Wales,nation,2021-09-12,1887,7
W92000004,Wales,nation,2021-09-11,1944,7
W92000004,Wales,nation,2021-09-10,1998,10
W92000004,Wales,nation,2021-09-09,2319,11
W92000004,Wales,nation,2021-09-08,2382,6
W92000004,Wales,nation,2021-09-07,2293,8
W92000004,Wales,nation,2021-09-06,2902,3
W92000004,Wales,nation,2021-09-05,2108,10
W92000004,Wales,nation,2021-09-04,2160,6
W92000004,Wales,nation,2021-09-03,2347,5
W92000004,Wales,nation,2021-09-02,2681,9
W92000004,Wales,nation,2021-09-01,2870,1
W92000004,Wales,nation,2021-08-31,3022,4
W92000004,Wales,nation,2021-08-30,1788,3
W92000004,Wales,nation,2021-08-29,1438,6
W92000004,Wales,nation,2021-08-28,1516,3
W92000004,Wales,nation,2021-08-27,1959,6
W92000004,Wales,nation,2021-08-26,2187,1
W92000004,Wales,nation,2021-08-25,2271,5
W92000004,Wales,nation,2021-08-24,2156,1
W92000004,Wales,nation,2021-08-23,2049,3
W92000004,Wales,nation,2021-08-22,1379,1
W92000004,Wales,nation,2021-08-21,1390,0
W92000004,Wales,nation,2021-08-20,1619,4
W92000004,Wales,nation,2021-08-19,1858,2
W92000004,Wales,nation,2021-08-18,1782,2
W92000004,Wales,nation,2021-08-17,1736,1
W92000004,Wales,nation,2021-08-16,1585,0
W92000004,Wales,nation,2021-08-15,1098,5
W92000004,Wales,nation,2021-08-14,1003,4
W92000004,Wales,nation,2021-08-13,1122,1
W92000004,Wales,nation,2021-08-12,1259,5
W92000004,Wales,nation,2021-08-11,1184,0
W92000004,Wales,nation,2021-08-10,946,4
W92000004,Wales,nation,2021-08-09,957,2
W92000004,Wales,nation,2021-08-08,585,0
